PRESIDENT 1960 State Summary
,
Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19601108,N/A,Alabama,0,5,6,"570,225","237,981","Nixon, Richard M. ",Challenger,"324,050","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,"8,194",,"86,069",D,41.73,56.83,.00,1.44,42.34,57.66,,,
President,19601108,N/A,Alaska,3,0,0,"60,762","30,953","Nixon, Richard M. ",Challenger,"29,809","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,N/A,,"1,144",R,50.94,49.06,.00,.00,50.94,49.06,,,
President,19601108,N/A,Arizona,4,0,0,"398,491","221,241","Nixon, Richard M. ",Challenger,"176,781","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,469,,"44,460",R,55.52,44.36,.00,.12,55.59,44.41,,,
President,19601108,N/A,Arkansas,0,8,0,"428,509","184,508","Nixon, Richard M. ",Challenger,"215,049","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,"28,952",,"30,541",D,43.06,50.19,.00,6.76,46.18,53.82,,,
President,19601108,N/A,California,32,0,0,"6,506,578","3,259,722","Nixon, Richard M. ",Challenger,"3,224,099","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,"22,757",,"35,623",R,50.10,49.55,.00,.35,50.27,49.73,,,
President,19601108,N/A,Colorado,6,0,0,"736,236","402,242","Nixon, Richard M. ",Challenger,"330,629","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,"3,365",,"71,613",R,54.63,44.91,.00,.46,54.89,45.11,,,
President,19601108,N/A,Connecticut,0,8,0,"1,222,883","565,813","Nixon, Richard M. ",Challenger,"657,055","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,15,,"91,242",D,46.27,53.73,.00,.00,46.27,53.73,,,
President,19601108,N/A,Delaware,0,3,0,"196,683","96,373","Nixon, Richard M. ",Challenger,"99,590","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,720,,"3,217",D,49.00,50.63,.00,.37,49.18,50.82,,,
President,19601108,N/A,District of Columbia,0,3,0,,N/A,"Nixon, Richard M. ",Challenger,N/A,"Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,N/A,,0,N/A,.00,.00,.00,.00,.00,.00,,,
President,19601108,N/A,Florida,10,0,0,"1,544,176","795,476","Nixon, Richard M. ",Challenger,"748,700","Kennedy, John F. ",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F. ",Challenger,N/A,,"46,776",R,51.51,48.49,.00,.00,51.51,48.49,,,
