PRESIDENT 2008 State Summary
,
Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,20081104,N/A,Alabama,9,0,0,"2,099,819","1,266,546","McCain, John S. III",Challenger,"813,479","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"19,794",,"453,067",R,60.32,38.74,.00,.94,60.89,39.11,,,
President,20081104,N/A,Alaska,3,0,0,"326,197","193,841","McCain, John S. III",Challenger,"123,594","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"8,762",,"70,247",R,59.42,37.89,.00,2.69,61.06,38.94,,,
President,20081104,N/A,Arizona,10,0,0,"2,293,475","1,230,111","McCain, John S. III",Challenger,"1,034,707","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"28,657",,"195,404",R,53.64,45.12,.00,1.25,54.31,45.69,,,
President,20081104,N/A,Arkansas,6,0,0,"1,086,617","638,017","McCain, John S. III",Challenger,"422,310","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"26,290",,"215,707",R,58.72,38.86,.00,2.42,60.17,39.83,,,
President,20081104,N/A,California,0,55,0,"13,561,900","5,011,781","McCain, John S. III",Challenger,"8,274,473","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"275,646",,"3,262,692",D,36.95,61.01,.00,2.03,37.72,62.28,,,
President,20081104,N/A,Colorado,0,9,0,"2,401,458","1,073,629","McCain, John S. III",Challenger,"1,288,633","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"39,196",,"215,004",D,44.71,53.66,.00,1.63,45.45,54.55,,,
President,20081104,N/A,Connecticut,0,7,0,"1,646,792","629,428","McCain, John S. III",Challenger,"997,772","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"19,592",,"368,344",D,38.22,60.59,.00,1.19,38.68,61.32,,,
President,20081104,N/A,Delaware,0,3,0,"412,412","152,374","McCain, John S. III",Challenger,"255,459","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"4,579",,"103,085",D,36.95,61.94,.00,1.11,37.36,62.64,,,
President,20081104,N/A,District of Columbia,0,3,0,"265,853","17,367","McCain, John S. III",Challenger,"245,800","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"2,686",,"228,433",D,6.53,92.46,.00,1.01,6.60,93.40,,,
President,20081104,N/A,Florida,0,27,0,"8,390,744","4,045,624","McCain, John S. III",Challenger,"4,282,074","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"63,046",,"236,450",D,48.22,51.03,.00,.75,48.58,51.42,,,
President,20081104,N/A,Georgia,15,0,0,"3,924,486","2,048,759","McCain, John S. III",Challenger,"1,844,123","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"31,604",,"204,636",R,52.20,46.99,.00,.81,52.63,47.37,,,
President,20081104,N/A,Hawaii,0,4,0,"453,568","120,566","McCain, John S. III",Challenger,"325,871","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"7,131",,"205,305",D,26.58,71.85,.00,1.57,27.01,72.99,,,
President,20081104,N/A,Idaho,4,0,0,"655,032","403,012","McCain, John S. III",Challenger,"236,440","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"15,580",,"166,572",R,61.53,36.10,.00,2.38,63.02,36.98,,,
President,20081104,N/A,Illinois,0,21,0,"5,522,371","2,031,179","McCain, John S. III",Challenger,"3,419,348","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"71,844",,"1,388,169",D,36.78,61.92,.00,1.30,37.27,62.73,,,
President,20081104,N/A,Indiana,0,11,0,"2,751,054","1,345,648","McCain, John S. III",Challenger,"1,374,039","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"31,367",,"28,391",D,48.91,49.95,.00,1.14,49.48,50.52,,,
President,20081104,N/A,Iowa,0,7,0,"1,537,123","682,379","McCain, John S. III",Challenger,"828,940","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"25,804",,"146,561",D,44.39,53.93,.00,1.68,45.15,54.85,,,
President,20081104,N/A,Kansas,6,0,0,"1,235,872","699,655","McCain, John S. III",Challenger,"514,765","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"21,452",,"184,890",R,56.61,41.65,.00,1.74,57.61,42.39,,,
President,20081104,N/A,Kentucky,8,0,0,"1,826,620","1,048,462","McCain, John S. III",Challenger,"751,985","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"26,173",,"296,477",R,57.40,41.17,.00,1.43,58.23,41.77,,,
President,20081104,N/A,Louisiana,9,0,0,"1,960,761","1,148,275","McCain, John S. III",Challenger,"782,989","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"29,497",,"365,286",R,58.56,39.93,.00,1.50,59.46,40.54,,,
President,20081104,N/A,Maine,0,4,0,"731,163","295,273","McCain, John S. III",Challenger,"421,923","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"13,967",,"126,650",D,40.38,57.71,.00,1.91,41.17,58.83,,,
President,20081104,N/A,Maryland,0,10,0,"2,631,596","959,862","McCain, John S. III",Challenger,"1,629,467","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"42,267",,"669,605",D,36.47,61.92,.00,1.61,37.07,62.93,,,
President,20081104,N/A,Massachusetts,0,12,0,"3,080,985","1,108,854","McCain, John S. III",Challenger,"1,904,097","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"68,034",,"795,243",D,35.99,61.80,.00,2.21,36.80,63.20,,,
President,20081104,N/A,Michigan,0,17,0,"5,001,766","2,048,639","McCain, John S. III",Challenger,"2,872,579","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"80,548",,"823,940",D,40.96,57.43,.00,1.61,41.63,58.37,,,
President,20081104,N/A,Minnesota,0,10,0,"2,910,369","1,275,409","McCain, John S. III",Challenger,"1,573,354","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"61,606",,"297,945",D,43.82,54.06,.00,2.12,44.77,55.23,,,
President,20081104,N/A,Mississippi,6,0,0,"1,289,865","724,597","McCain, John S. III",Challenger,"554,662","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"10,606",,"169,935",R,56.18,43.00,.00,.82,56.64,43.36,,,
President,20081104,N/A,Missouri,11,0,0,"2,913,334","1,439,923","McCain, John S. III",Challenger,"1,436,176","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"37,235",,"3,747",R,49.43,49.30,.00,1.28,50.07,49.93,,,
President,20081104,N/A,Montana,3,0,0,"490,302","242,763","McCain, John S. III",Challenger,"231,667","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"15,872",,"11,096",R,49.51,47.25,.00,3.24,51.17,48.83,,,
President,20081104,N/A,Nebraska,4,1,0,"801,281","452,979","McCain, John S. III",Challenger,"333,319","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"14,983",,"119,660",R,56.53,41.60,.00,1.87,57.61,42.39,,,
President,20081104,N/A,Nevada,0,5,0,"967,848","412,827","McCain, John S. III",Challenger,"533,736","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"21,285",,"120,909",D,42.65,55.15,.00,2.20,43.61,56.39,,,
President,20081104,N/A,New Hampshire,0,4,0,"710,970","316,534","McCain, John S. III",Challenger,"384,826","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"9,610",,"68,292",D,44.52,54.13,.00,1.35,45.13,54.87,,,
President,20081104,N/A,New Jersey,0,15,0,"3,868,237","1,613,207","McCain, John S. III",Challenger,"2,215,422","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"39,608",,"602,215",D,41.70,57.27,.00,1.02,42.14,57.86,,,
President,20081104,N/A,New Mexico,0,5,0,"830,158","346,832","McCain, John S. III",Challenger,"472,422","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"10,904",,"125,590",D,41.78,56.91,.00,1.31,42.34,57.66,,,
President,20081104,N/A,New York,0,31,0,"7,640,931","2,752,771","McCain, John S. III",Challenger,"4,804,945","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"83,215",,"2,052,174",D,36.03,62.88,.00,1.09,36.42,63.58,,,
President,20081104,N/A,North Carolina,0,15,0,"4,310,789","2,128,474","McCain, John S. III",Challenger,"2,142,651","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"39,664",,"14,177",D,49.38,49.70,.00,.92,49.83,50.17,,,
President,20081104,N/A,North Dakota,3,0,0,"316,621","168,601","McCain, John S. III",Challenger,"141,278","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"6,742",,"27,323",R,53.25,44.62,.00,2.13,54.41,45.59,,,
President,20081104,N/A,Ohio,0,20,0,"5,708,350","2,677,820","McCain, John S. III",Challenger,"2,940,044","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"90,486",,"262,224",D,46.91,51.50,.00,1.59,47.67,52.33,,,
President,20081104,N/A,Oklahoma,7,0,0,"1,462,661","960,165","McCain, John S. III",Challenger,"502,496","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,N/A,,"457,669",R,65.65,34.35,.00,.00,65.65,34.35,,,
President,20081104,N/A,Oregon,0,7,0,"1,827,864","738,475","McCain, John S. III",Challenger,"1,037,291","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"52,098",,"298,816",D,40.40,56.75,.00,2.85,41.59,58.41,,,
President,20081104,N/A,Pennsylvania,0,21,0,"5,995,137","2,655,885","McCain, John S. III",Challenger,"3,276,363","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"62,889",,"620,478",D,44.30,54.65,.00,1.05,44.77,55.23,,,
President,20081104,N/A,Rhode Island,0,4,0,"471,766","165,391","McCain, John S. III",Challenger,"296,571","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"9,804",,"131,180",D,35.06,62.86,.00,2.08,35.80,64.20,,,
President,20081104,N/A,South Carolina,8,0,0,"1,909,968","1,028,632","McCain, John S. III",Challenger,"857,856","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"23,480",,"170,776",R,53.86,44.91,.00,1.23,54.53,45.47,,,
President,20081104,N/A,South Dakota,3,0,0,"381,975","203,054","McCain, John S. III",Challenger,"170,924","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"7,997",,"32,130",R,53.16,44.75,.00,2.09,54.30,45.70,,,
President,20081104,N/A,Tennessee,11,0,0,"2,599,749","1,479,178","McCain, John S. III",Challenger,"1,087,437","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"33,134",,"391,741",R,56.90,41.83,.00,1.27,57.63,42.37,,,
President,20081104,N/A,Texas,34,0,0,"8,077,795","4,479,328","McCain, John S. III",Challenger,"3,528,633","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"69,834",,"950,695",R,55.45,43.68,.00,.86,55.94,44.06,,,
President,20081104,N/A,Utah,5,0,0,"952,370","596,030","McCain, John S. III",Challenger,"327,670","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"28,670",,"268,360",R,62.58,34.41,.00,3.01,64.53,35.47,,,
President,20081104,N/A,Vermont,0,3,0,"325,046","98,974","McCain, John S. III",Challenger,"219,262","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"6,810",,"120,288",D,30.45,67.46,.00,2.10,31.10,68.90,,,
President,20081104,N/A,Virginia,0,13,0,"3,723,260","1,725,005","McCain, John S. III",Challenger,"1,959,532","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"38,723",,"234,527",D,46.33,52.63,.00,1.04,46.82,53.18,,,
President,20081104,N/A,Washington,0,11,0,"3,036,878","1,229,216","McCain, John S. III",Challenger,"1,750,848","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"56,814",,"521,632",D,40.48,57.65,.00,1.87,41.25,58.75,,,
President,20081104,N/A,West Virginia,5,0,0,"713,451","397,466","McCain, John S. III",Challenger,"303,857","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"12,128",,"93,609",R,55.71,42.59,.00,1.70,56.67,43.33,,,
President,20081104,N/A,Wisconsin,0,10,0,"2,983,417","1,262,393","McCain, John S. III",Challenger,"1,677,211","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"43,813",,"414,818",D,42.31,56.22,.00,1.47,42.94,57.06,,,
President,20081104,N/A,Wyoming,3,0,0,"254,658","164,958","McCain, John S. III",Challenger,"82,868","Obama, Barack H. ",Challenger,N/A,N/A,N/A,N/A,"6,832",,"82,090",R,64.78,32.54,.00,2.68,66.56,33.44,,,
,
CensusPopAll,AreaAll,ElectoralRepVotesAll,ElectoralDemVotesAll,ElectoralOtherVotesAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United States,173,365,0,"131,272,714","59,936,168","69,488,188",N/A,"1,848,358","9,552,020",D,45.66,52.93,.00,1.41,46.31,53.69
