PRESIDENT 1972 State Summary
,
Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19721107,N/A,Alabama,9,0,0,"1,006,111","728,701","Nixon, Richard M. ",Incumbent,"256,923","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"20,487",,"471,778",R,72.43,25.54,.00,2.04,73.93,26.07,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Alaska,3,0,0,"95,219","55,349","Nixon, Richard M. ",Incumbent,"32,967","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"6,903",,"22,382",R,58.13,34.62,.00,7.25,62.67,37.33,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Arizona,6,0,0,"622,926","402,812","Nixon, Richard M. ",Incumbent,"198,540","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"21,574",,"204,272",R,64.66,31.87,.00,3.46,66.98,33.02,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Arkansas,6,0,0,"651,320","448,541","Nixon, Richard M. ",Incumbent,"199,892","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"2,887",,"248,649",R,68.87,30.69,.00,.44,69.17,30.83,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,California,45,0,0,"8,367,862","4,602,096","Nixon, Richard M. ",Incumbent,"3,475,847","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"289,919",,"1,126,249",R,55.00,41.54,.00,3.46,56.97,43.03,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Colorado,7,0,0,"953,884","597,189","Nixon, Richard M. ",Incumbent,"329,980","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"26,715",,"267,209",R,62.61,34.59,.00,2.80,64.41,35.59,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Connecticut,8,0,0,"1,384,277","810,763","Nixon, Richard M. ",Incumbent,"555,498","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"18,016",,"255,265",R,58.57,40.13,.00,1.30,59.34,40.66,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Delaware,3,0,0,"235,516","140,357","Nixon, Richard M. ",Incumbent,"92,283","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"2,876",,"48,074",R,59.60,39.18,.00,1.22,60.33,39.67,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,District of Columbia,0,3,0,"163,421","35,226","Nixon, Richard M. ",Incumbent,"127,627","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,568,,"92,401",D,21.56,78.10,.00,.35,21.63,78.37,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19721107,N/A,Florida,17,0,0,"2,583,283","1,857,759","Nixon, Richard M. ",Incumbent,"718,117","McGovern, George S. ",Challenger,N/A,N/A,N/A,N/A,"7,407",,"1,139,642",R,71.91,27.80,.00,.29,72.12,27.88,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
